{'项目': '蜜糖/蝶恋花收CPA', 'QQ': '643795'}
{'项目': '陌陌', 'QQ': '1902458764'}
{'项目': '交通侠APP下载注册', 'QQ': '121385180'}
{'项目': '交通侠APP下载注册任务', 'QQ': '121385180'}
{'项目': '开心消消乐', 'QQ': '294404207'}
{'项目': '浦发银行信用卡', 'QQ': '2970800947'}
{'项目': '民生银行信用卡快速审批', 'QQ': '2970800947'}
{'项目': '翼汇财', 'QQ': '208667867'}
{'项目': '每日优鲜', 'QQ': '826159526'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '瓜牛钱包', 'QQ': '1426021046'}
{'项目': '艺厘米', 'QQ': '2139454636'}
{'项目': '找乐破解手游大全', 'QQ': '2850959837'}
{'项目': '官方交友APP', 'QQ': '3219300437'}
{'项目': '长江证劵开户', 'QQ': '2970800947'}
{'项目': '陌陌', 'QQ': '3294738029'}
{'项目': '来这炸金花', 'QQ': '139012946'}
{'项目': '来这炸金花', 'QQ': '139012946'}
{'项目': '信而富现金贷', 'QQ': '1076882791'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '花无缺上班贷', 'QQ': '2970800947'}
{'项目': '光大银行信用卡', 'QQ': '2970800947'}
{'项目': '信而富APP', 'QQ': '441324747'}
{'项目': '微信抢红包神器', 'QQ': '2885608756'}
{'项目': '猎鱼达人', 'QQ': '49044963'}
{'项目': '京东白条', 'QQ': '1799272100'}
{'项目': '么么直播', 'QQ': '1334286408'}
{'项目': '理财', 'QQ': '448599023'}
{'项目': '锄禾online', 'QQ': '1047848490'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '点金石', 'QQ': '79516864'}
{'项目': '锄禾online', 'QQ': '1047848490'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '易享社区', 'QQ': '2693147984'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '涨了财付通', 'QQ': '2880132129'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '超跑梦', 'QQ': '2818274016'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '602蓝月传奇', 'QQ': '706559450'}
{'项目': '缘分吧', 'QQ': '3352710020'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '蝶恋网', 'QQ': '353345185'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '钱包管家', 'QQ': '3212755951'}
{'项目': '钱包管家', 'QQ': '3212755951'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '泛娱宝', 'QQ': '2970800947'}
{'项目': '涨乐财富通', 'QQ': '2880132129'}
{'项目': '你我贷', 'QQ': '450524886'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '涨乐财富通', 'QQ': '2880132129'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '你我贷', 'QQ': '450524886'}
{'项目': '腾讯新闻', 'QQ': '1059707436'}
{'项目': '腾讯视频', 'QQ': '1059707436'}
{'项目': '头条新闻', 'QQ': '1059707436'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '网信理财', 'QQ': '372799683'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '平安橙子', 'QQ': '1799272100'}
{'项目': '浙商银行', 'QQ': '1799272100'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '信而富', 'QQ': '3088233141'}
{'项目': '百度手机助手', 'QQ': '1059707436'}
{'项目': '蚂蚁小咖', 'QQ': '522065230'}
{'项目': '天猫 淘宝', 'QQ': '1059707436'}
{'项目': '360手机卫士', 'QQ': '1059707436'}
{'项目': '百度搜索', 'QQ': '1059707436'}
{'项目': '喔喔娱乐社区', 'QQ': '935456077'}
{'项目': '资讯宝', 'QQ': '294404207'}
{'项目': '咪咕阅读', 'QQ': '294404207'}
{'项目': '360安全卫士', 'QQ': '294404207'}
{'项目': '360手机助手', 'QQ': '1059707436'}
{'项目': '最美天气', 'QQ': '516736418'}
{'项目': '应用宝一次', 'QQ': '294404207'}
{'项目': '百度浏览器', 'QQ': '1059707436'}
{'项目': '搜狗浏览器', 'QQ': '1059707436'}
{'项目': '豌豆荚', 'QQ': '1059707436'}
{'项目': '飞贷', 'QQ': '1308538009'}
{'项目': '华泰证券', 'QQ': '1308538009'}
{'项目': 'uc浏览器', 'QQ': '1059707436'}
{'项目': '乐乐抢红包神器', 'QQ': '39651'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '学管家', 'QQ': '2929426500'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '么么直播', 'QQ': '761669093'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '封神策', 'QQ': '2880908418'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '捕鱼大满贯', 'QQ': '0'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '华泰证券', 'QQ': '712342252'}
{'项目': '完美人生', 'QQ': '516736418'}
{'项目': '360手机助手', 'QQ': '294404207'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '涨乐财富通', 'QQ': '712342252'}
{'项目': '百度贴吧', 'QQ': '516736418'}
{'项目': '唐小僧理财', 'QQ': '30862136'}
{'项目': '买单吧', 'QQ': '3109247600'}
{'项目': '钱小咖', 'QQ': '609501664'}
{'项目': '唐小僧理财', 'QQ': '30862136'}
{'项目': '阴阳师', 'QQ': '516736418'}
{'项目': '乐嗨秀场', 'QQ': '403079075'}
{'项目': '钱小咖', 'QQ': '609501664'}
{'项目': '羽时炼金术', 'QQ': '290181466'}
{'项目': '华泰证券开户', 'QQ': '843798463'}
{'项目': 'VR数码前线', 'QQ': '1157750068'}
{'项目': '京东商城', 'QQ': '57118710'}
{'项目': '融360', 'QQ': '516736418'}
{'项目': '平安好医生', 'QQ': '2653501639'}
{'项目': '讯飞输入法', 'QQ': '761669093'}
{'项目': '么么直播', 'QQ': '2653501639'}
{'项目': '天天捕鱼', 'QQ': '734954780'}
{'项目': '疯狂连连看', 'QQ': '734954780'}
{'项目': '国美', 'QQ': '2885549767'}
{'项目': '2345助手', 'QQ': '516736418'}
{'项目': '任我花', 'QQ': '2885549757'}
{'项目': '花无缺', 'QQ': '2885549757'}
{'项目': 'UC浏览器', 'QQ': '3512542660'}
{'项目': '搜狗浏览器', 'QQ': '516736418'}
{'项目': '统一安卓壁纸', 'QQ': '537012307'}
{'项目': '平安橙子', 'QQ': '784064786'}
{'项目': '品鲜', 'QQ': '784064786'}
{'项目': '唐小僧理财', 'QQ': '30862136'}
{'项目': '好药师', 'QQ': '1832235052'}
{'项目': '财行家', 'QQ': '2885549757'}
{'项目': '裕金宝', 'QQ': '2885549757'}
{'项目': '夺宝捕鱼', 'QQ': '398181531'}
{'项目': '雷电战机', 'QQ': '827787123'}
{'项目': '消灭星星', 'QQ': '827787123'}
{'项目': '首趣pc界面安装包天空Auxy', 'QQ': '1617220846'}
{'项目': '高德地图', 'QQ': '3525415652'}
{'项目': '繁星直播', 'QQ': '3525415652'}
{'项目': '借贷宝支付', 'QQ': '386577926'}
{'项目': '东方输入法', 'QQ': '2881032116'}
{'项目': 'hao123看图王', 'QQ': '2881032116'}
{'项目': '东方输入法', 'QQ': '2881032116'}
{'项目': '东方头条', 'QQ': '2880331976'}
{'项目': '信而富', 'QQ': '1091517379'}
{'项目': '速拍闪购一元夺宝', 'QQ': '2590576725'}
{'项目': '速拍闪购一元夺宝', 'QQ': '2590576725'}
{'项目': '手机百度', 'QQ': '516736418'}
{'项目': '信而富绑卡注册', 'QQ': '1263552032'}
{'项目': '奇缘幻境', 'QQ': '516736418'}
{'项目': 'WSK通信', 'QQ': '3255150699'}
{'项目': '锁财宝', 'QQ': '2853700251'}
{'项目': '易商理财', 'QQ': '1144515500'}
{'项目': '萝莉斗地主', 'QQ': '516736418'}
{'项目': '萝莉炸金花', 'QQ': '516736418'}
{'项目': '快速一键装机', 'QQ': '1019708169'}
{'项目': '金山毒霸', 'QQ': '3252635269'}
{'项目': '掌赚宝', 'QQ': '932387761'}
{'项目': '万年历', 'QQ': '2885608756'}
{'项目': '一起玩吧', 'QQ': '394088718'}
{'项目': '棋牌类游戏单', 'QQ': '13556851970'}
{'项目': '英语流利说', 'QQ': '3512542660'}
{'项目': '搜狗导航', 'QQ': '511638757'}
{'项目': 'pp助手', 'QQ': '3512542660'}
{'项目': '诛神黄昏', 'QQ': '516736418'}
{'项目': '征婚网站', 'QQ': '731306247'}
{'项目': '传奇霸业', 'QQ': '2851029125'}
{'项目': '瑞星杀毒', 'QQ': '2851029125'}
{'项目': '艾付宝下载', 'QQ': '65802539'}
{'项目': '天天电玩城', 'QQ': '2851209125'}
{'项目': '千帆直播', 'QQ': '2851209125'}
{'项目': '腾讯新闻', 'QQ': '3512542660'}
{'项目': '腾讯快报', 'QQ': '3512542660'}
{'项目': '搜狗输入法', 'QQ': '3512542660'}
{'项目': '优酷', 'QQ': '3512542660'}
{'项目': '微博', 'QQ': '3512542660'}
{'项目': '依站导航', 'QQ': '2885660151'}
{'项目': '月历', 'QQ': '2885660151'}
{'项目': '1891棋牌', 'QQ': '18916250'}
{'项目': '腾讯NOW直播产品', 'QQ': '853612569'}
{'项目': 'PPTV', 'QQ': '516736418'}
{'项目': '斗战神手游', 'QQ': '49044963'}
{'项目': '搜狗搜索', 'QQ': '516736418'}
{'项目': '缘份吧', 'QQ': '641849146'}
{'项目': '拍拍贷', 'QQ': '3512542660'}
{'项目': '高德地图', 'QQ': '3512542660'}
{'项目': '证券平台开户', 'QQ': '394088718'}
{'项目': '繁星直播', 'QQ': '3512542660'}
{'项目': '伊云夺宝', 'QQ': '564948234'}
{'项目': '糗事爆料', 'QQ': '294981332'}
{'项目': '搜狐新闻', 'QQ': '294981332'}
{'项目': '梦幻西游无双版', 'QQ': '13314209418'}
{'项目': '倚天屠龙记', 'QQ': '13314209418'}
{'项目': '微数据', 'QQ': '3132928313'}
{'项目': 'NOW直播', 'QQ': '3420511423'}
{'项目': '咪咕阅读', 'QQ': '1060387513'}
{'项目': '融60', 'QQ': '754530809'}
{'项目': '易推行', 'QQ': '1798888'}
{'项目': '秀聊', 'QQ': '3384268141'}
{'项目': '快压', 'QQ': '2880582693'}
{'项目': '逐梦', 'QQ': '294981332'}
{'项目': '么么直播', 'QQ': '2586045454'}
{'项目': '趣汇APP推广', 'QQ': '737394257'}
{'项目': '保卫萝卜', 'QQ': '294981332'}
{'项目': '母婴综合网站买量', 'QQ': '1019708169'}
{'项目': '途牛', 'QQ': '761669093'}
{'项目': '9377皇图', 'QQ': '425349691'}
{'项目': '百度浏览器', 'QQ': '825688106'}
{'项目': '360卫士', 'QQ': '425349691'}
{'项目': '天使建材', 'QQ': '1474403209'}
{'项目': '天宏基金', 'QQ': '97782983'}
{'项目': '直播吧', 'QQ': '873572451'}
{'项目': '么么直播', 'QQ': '1020053030'}
{'项目': '唯品会', 'QQ': '2853273124'}
{'项目': '语玩', 'QQ': '2853273124'}
{'项目': '艺术狗', 'QQ': '2987275453'}
{'项目': '团贷网', 'QQ': '5169378'}
{'项目': '应用宝1次', 'QQ': '345428783'}
{'项目': '借贷宝注册，不用绑卡', 'QQ': '568148231'}
{'项目': '易打工', 'QQ': '761669093'}
{'项目': '乱斗堂', 'QQ': '1162687575'}
{'项目': '钱瑞', 'QQ': '344834694'}
{'项目': '欢乐大赢家', 'QQ': '294981332'}
{'项目': '真好玩', 'QQ': '3136459131'}
{'项目': '草根钱包', 'QQ': '2606927877'}
{'项目': '搜狐新闻', 'QQ': '3062338412'}
{'项目': '妙健康', 'QQ': '1317433972'}
{'项目': '平安普惠', 'QQ': '824913209'}
{'项目': '借贷宝APP', 'QQ': '170836422'}
{'项目': '东方头条', 'QQ': '2881032116'}
{'项目': '京东阅读', 'QQ': '1317433972'}
{'项目': '百度糯米团购', 'QQ': '1710701892'}
{'项目': '接龙', 'QQ': '1710701892'}
{'项目': '【糖宝网】千次推广收益60元', 'QQ': '931536691'}
{'项目': '高德地图', 'QQ': '544005344'}
{'项目': '360卫士 1.7', 'QQ': '249313210'}
{'项目': '享盈', 'QQ': '532199183'}
{'项目': '借贷宝注册', 'QQ': '184637469'}
{'项目': '流量咪', 'QQ': '34887836'}
{'项目': '消灭星星-全明星', 'QQ': '911052509'}
{'项目': '雷电战机II', 'QQ': '911052509'}
{'项目': '小花钱包', 'QQ': '2851631730'}
{'项目': '快乐找你茬', 'QQ': '2850565760'}
{'项目': '百度手机助手', 'QQ': '2896123288'}
{'项目': '安装量', 'QQ': '1006163871'}
{'项目': '易购返利', 'QQ': '1119336771'}
{'项目': '东方输入法', 'QQ': '254438489'}
{'项目': '东方头条', 'QQ': '254438489'}
{'项目': '同城交友CP', 'QQ': '413479116'}
{'项目': '乐嗨秀场', 'QQ': '79516864'}
{'项目': '中银', 'QQ': '844095551'}
{'项目': '考拉理财', 'QQ': '844095551'}
{'项目': '1号考车', 'QQ': '1586174859'}
{'项目': '独家车木曹', 'QQ': '2850350444'}
{'项目': '360网址导航推广', 'QQ': '3276036143'}
{'项目': '钱升钱', 'QQ': '2850350444'}
{'项目': '360产品 高价双周 量大来约', 'QQ': '1937584034'}
{'项目': '360手机卫士', 'QQ': '2850565760'}
{'项目': 'jj斗地主', 'QQ': '2850565760'}
{'项目': '挑战美女联盟', 'QQ': '2850565760'}
{'项目': '快乐找你茬', 'QQ': '2850565760'}
{'项目': '乐享动', 'QQ': '2850565760'}
{'项目': '3D方块匹配大师', 'QQ': '2850565760'}
{'项目': '锁财宝', 'QQ': '2850565760'}
{'项目': '曹操专车', 'QQ': '77043081'}
{'项目': '借贷宝', 'QQ': '307602006'}
{'项目': '安全防毒浏览器', 'QQ': '1725249941'}
{'项目': '购物返利', 'QQ': '1725249941'}
{'项目': '播放软件', 'QQ': '1725249941'}
{'项目': '禄财宝积分墙', 'QQ': '1725249941'}
{'项目': '锁屏', 'QQ': '1725249941'}
{'项目': '禄财宝赚钱', 'QQ': '1725249941'}
{'项目': '金牌德州扑克', 'QQ': '905660515'}
{'项目': '自家IOS产品', 'QQ': '2217714495'}
{'项目': '剑与魔法', 'QQ': '3109483028'}
{'项目': '借贷宝', 'QQ': '247876021'}
{'项目': '凤凰新闻', 'QQ': '2851708853'}
{'项目': '借贷宝', 'QQ': '419702653'}
{'项目': 'COS乱斗女皇', 'QQ': '281780134'}
{'项目': '艺龙旅行', 'QQ': '1932143324'}
{'项目': '达令礼物', 'QQ': '1932143324'}
{'项目': '去哪儿', 'QQ': '1932143324'}
{'项目': '乐抢', 'QQ': '294981332'}
{'项目': '新浪新闻', 'QQ': '2851708853'}
{'项目': '东方头条快捷方式', 'QQ': '2881032116'}
{'项目': '金山毒霸', 'QQ': '712734352'}
{'项目': 'QQ管家', 'QQ': '712734352'}
{'项目': '安卓APP推广', 'QQ': '1587461314'}
{'项目': '飞贷', 'QQ': '447427911'}
{'项目': '优分期', 'QQ': '2851631730'}
{'项目': '易淘钱包', 'QQ': '2851631730'}
{'项目': 'QQ阅读', 'QQ': '2896123288'}
{'项目': '暴力战车', 'QQ': '2645308088'}
{'项目': '僵尸猎人', 'QQ': '2645308088'}
{'项目': '萌鼠窜窜窜', 'QQ': '2645308088'}
{'项目': '碰碰喵星人', 'QQ': '2645308088'}
{'项目': '萌宠消消乐', 'QQ': '2645308088'}
{'项目': '穿越火线-全民狙神', 'QQ': '2645308088'}
{'项目': '速度与激情-火速狂飙', 'QQ': '2645308088'}
{'项目': '大战萌僵尸', 'QQ': '2645308088'}
{'项目': '糖果连萌', 'QQ': '2645308088'}
{'项目': '射雕英雄传3D', 'QQ': '3109483028'}
{'项目': '安卓APP推广', 'QQ': '1587461314'}
{'项目': '跃老板', 'QQ': '2851631730'}
{'项目': '平安好房', 'QQ': '2896123288'}
{'项目': '酷锁屏', 'QQ': '529358585'}
{'项目': '苏宁易购', 'QQ': '2896123288'}
{'项目': '360卫士付费包', 'QQ': '2896123288'}
{'项目': '360卫士', 'QQ': '2896123288'}
{'项目': '京东商城无订单', 'QQ': '2896123288'}
{'项目': '美啦', 'QQ': '2896123288'}
{'项目': '平安一账通', 'QQ': '2851708853'}
{'项目': '聚合sdk', 'QQ': '1944643951'}
{'项目': '搜狗浏览器', 'QQ': '10131304'}
{'项目': '一拍即合', 'QQ': '786314378'}
{'项目': '苏宁易购', 'QQ': '1932143324'}
{'项目': '港式五张', 'QQ': '2763338319'}
{'项目': '青丘狐传奇', 'QQ': '1046551154'}
{'项目': '人人锁屏', 'QQ': '1667386588'}
{'项目': '东方头条', 'QQ': '2881032116'}
{'项目': '手游返利宝', 'QQ': '269261826'}
{'项目': '东方头条', 'QQ': '2881032116'}
{'项目': 'QQ浏览器一次激活', 'QQ': '1932143324'}
{'项目': '中国电子平台', 'QQ': '191496748'}
{'项目': '中国电子平台', 'QQ': '191496748'}
{'项目': '讯飞输入法', 'QQ': '3161281719'}
{'项目': '宝宝树-时光', 'QQ': '3161281719'}
{'项目': '稻香音乐', 'QQ': '1031513390'}
{'项目': '寻渠道长期合作我们游戏应用都有', 'QQ': '2920562688'}
{'项目': '秀壁纸', 'QQ': '1031513390'}
{'项目': '豆腐超人', 'QQ': '1031513390'}
{'项目': '海马苹果助手', 'QQ': '2300817307'}
{'项目': '手游返利宝', 'QQ': '269261826'}
{'项目': '惩罚者2', 'QQ': '3020836193'}
{'项目': '幻世英雄', 'QQ': '3020836193'}
{'项目': '92助手', 'QQ': '3020836193'}
{'项目': '开心消消乐', 'QQ': '916166365'}
{'项目': '捕鱼海底捞', 'QQ': '285041258'}
{'项目': '开心跳跳兔', 'QQ': '2052137107'}
{'项目': '挂机捕鱼赢话费', 'QQ': '2052137107'}
{'项目': '全民消消乐', 'QQ': '2052137107'}
{'项目': '多看阅读', 'QQ': '1932143324'}
{'项目': '钱宝', 'QQ': '617746249'}
{'项目': '南粤银行', 'QQ': '1485919150'}
{'项目': '上行快线-上海银行APP', 'QQ': '1485919150'}
{'项目': '招商证券', 'QQ': '1485919150'}
{'项目': '钱程', 'QQ': '1517336295'}
{'项目': '百度搜索', 'QQ': '2848181095'}
{'项目': '亿百润', 'QQ': '23430015'}
{'项目': '阿凡题', 'QQ': '499500623'}
{'项目': '搜狗网址导航', 'QQ': '3276036143'}
{'项目': 'QQ管家', 'QQ': '860803782'}
{'项目': '同学贷', 'QQ': '1528109567'}
{'项目': '网信理财', 'QQ': '410717423'}
{'项目': '云算盘推广', 'QQ': '599393129'}
{'项目': '安卓手机APP', 'QQ': '2851727018'}
{'项目': '霹雳江湖', 'QQ': '2853273126'}
{'项目': '奇缘幻境', 'QQ': '2853273126'}
{'项目': '飘邈之旅', 'QQ': '2853273126'}
{'项目': '功夫少林', 'QQ': '2853273126'}
{'项目': '龙门镖局', 'QQ': '2853273126'}
{'项目': '存钱罐', 'QQ': '46915996'}
{'项目': '愤怒的小鸟大作战', 'QQ': '919149138'}
{'项目': '消灭星星3代官方正版', 'QQ': '809258395'}
{'项目': '光头强快跑', 'QQ': '835790033'}
{'项目': '爆裂赛车HD', 'QQ': '835790033'}
{'项目': '植物大战僵尸街机王', 'QQ': '835790033'}
{'项目': '全民消消乐3', 'QQ': '835790033'}
{'项目': '赢红包打地鼠', 'QQ': '835790033'}
{'项目': '列王的纷争', 'QQ': '940358121'}
{'项目': '360卫士', 'QQ': '1348138767'}
{'项目': '360手机助手', 'QQ': '1348138767'}
{'项目': '贝壳市场', 'QQ': '1965942523'}
{'项目': '云路课堂', 'QQ': '860804006'}
{'项目': '公牛炒股', 'QQ': '2077246584'}
{'项目': '神州话费通', 'QQ': '236245212'}
{'项目': '并读新闻', 'QQ': '286883620'}
{'项目': 'HAO123导航', 'QQ': '3276036143'}
{'项目': '凤凰新闻', 'QQ': '3152872780'}
{'项目': '极锁屏', 'QQ': '742748920'}
{'项目': '趣格部落', 'QQ': '115774587'}
{'项目': '乐嗨', 'QQ': '646370462'}
{'项目': '应用宝（二次）', 'QQ': '1356528470'}
{'项目': '虾米音乐', 'QQ': '503714781'}
{'项目': '国信金太阳软件', 'QQ': '2891237338'}
{'项目': '开心捕鱼2015', 'QQ': '1356528470'}
{'项目': '借贷宝', 'QQ': '410023151'}
{'项目': '易配货', 'QQ': '3265362669'}
{'项目': '开桌APP', 'QQ': '2663254872'}
{'项目': '卓易市场', 'QQ': '13308298528'}
{'项目': '猪八戒网', 'QQ': '351038492'}
{'项目': '快乐德州', 'QQ': '360835742'}
{'项目': '酷划锁屏', 'QQ': '709948623'}
{'项目': '优锁屏', 'QQ': '2850350980'}
{'项目': '乐啊', 'QQ': '2853926206'}
{'项目': '奇豆助手', 'QQ': '2853926206'}
{'项目': '京东钱包', 'QQ': '295092202'}
{'项目': '一度用车', 'QQ': '147026230'}
{'项目': '艺龙无订单', 'QQ': '2113491869'}
{'项目': '新浪微博', 'QQ': '2851987350'}
{'项目': '钱鹿锁屏', 'QQ': '1052353403'}
{'项目': '共信赢理财', 'QQ': '332946376'}
{'项目': '平安一账通', 'QQ': '2853273124'}
{'项目': '百度搜索', 'QQ': '749990918'}
{'项目': '百度手机助手', 'QQ': '749990918'}
{'项目': '停有钱', 'QQ': '136742761'}
{'项目': '腾讯网媒移动端+PC端', 'QQ': '761112182'}
{'项目': '新征战', 'QQ': '2915426310'}
{'项目': '车行无忧', 'QQ': '269720483'}
{'项目': '腾讯快豹', 'QQ': '2853926206'}
{'项目': '猎豹清理大师', 'QQ': '2853926206'}
{'项目': '快赚锁屏', 'QQ': '757567213'}
{'项目': '康美医生', 'QQ': '1792790575'}
{'项目': '平安一账通', 'QQ': '2853273124'}
{'项目': '360浏览器', 'QQ': '1749915654'}
{'项目': '耳语(2.0)', 'QQ': '179965682'}
{'项目': '应用宝', 'QQ': '1003100611'}
{'项目': '钱景', 'QQ': '2853273124'}
{'项目': '股市教练', 'QQ': '2958108320'}
{'项目': '卓易市场', 'QQ': '2853273124'}
{'项目': '一账通新注册', 'QQ': '2853273124'}
{'项目': '360助手496016', 'QQ': '646370462'}
{'项目': 'uc浏览器', 'QQ': '646370462'}
{'项目': '九游游戏', 'QQ': '646370462'}
{'项目': '车生活', 'QQ': '646370462'}
{'项目': '百度浏览器', 'QQ': '646370462'}
{'项目': '360看点', 'QQ': '64637046'}
{'项目': '360手机卫士', 'QQ': '951815897'}
{'项目': '农场日记', 'QQ': '177727029'}
{'项目': 'e代维工程师', 'QQ': '2962911858'}
{'项目': '电池加速器', 'QQ': '744756562'}
{'项目': '360助手', 'QQ': '28421476'}
{'项目': '百度浏览器', 'QQ': '574121312'}
{'项目': '美呗', 'QQ': '3300923172'}
{'项目': '火线僵尸', 'QQ': '228460710'}
{'项目': '冲上云霄', 'QQ': '1031416392'}
{'项目': '英雄连萌', 'QQ': '1031416392'}
{'项目': '云朵英雄', 'QQ': '1031416392'}
{'项目': '广告插件sdk', 'QQ': '1135071995'}
{'项目': 'UC浏览器', 'QQ': '1828304902'}
{'项目': '工多多', 'QQ': '976080264'}
{'项目': '挣钱包', 'QQ': '794085539'}
{'项目': '百度手机助手', 'QQ': '1607649909'}
{'项目': '流氓兔酷跑', 'QQ': '295286450'}
{'项目': '百度搜索', 'QQ': '355156040'}
{'项目': '大众点评', 'QQ': '355156040'}
{'项目': '全民消除', 'QQ': '2061559487'}
{'项目': '泡你妹2', 'QQ': '2061559487'}
{'项目': '精选', 'QQ': '3268147817'}
{'项目': '92 手机助手', 'QQ': '2853653903'}
{'项目': '惩罚者2', 'QQ': '2853653903'}
{'项目': '幻世英雄', 'QQ': '2853653903'}
{'项目': '神舟专车', 'QQ': '2853213553'}
{'项目': '360搜索', 'QQ': '2853213553'}
{'项目': '360助手', 'QQ': '2853213553'}
{'项目': '360安全卫士', 'QQ': '2853213553'}
{'项目': '找对象', 'QQ': '489332462'}
{'项目': '天天Q妹子  单机游戏', 'QQ': '2629891607'}
{'项目': '360手机卫士', 'QQ': '470980058'}
{'项目': '性感危机', 'QQ': '1833317387'}
{'项目': '转iPhone6', 'QQ': '1833317387'}
{'项目': '泡你妹', 'QQ': '1833317387'}
{'项目': '蜜蜂2', 'QQ': '2569548917'}
{'项目': '360卫士', 'QQ': '2569548917'}
{'项目': 'PP助手', 'QQ': '89914565'}
{'项目': '不费流量ip电话', 'QQ': '619616666'}
{'项目': '虎牙直播', 'QQ': '2851726991'}
{'项目': '全民炸翻天', 'QQ': '307377084'}
{'项目': '百度手机助手', 'QQ': '1193197920'}
{'项目': '达飞移动支付', 'QQ': '1002349902'}
{'项目': '平安一账通', 'QQ': '2851726992'}
{'项目': '快乐炸金花', 'QQ': '3231749004'}
{'项目': '保卫萝卜3正式版', 'QQ': '751927165'}
{'项目': '火线猎人', 'QQ': '910571012'}
{'项目': '应用管家', 'QQ': '2093089486'}
{'项目': '酷跑路飞', 'QQ': '1043361471'}
{'项目': '用户表格信息', 'QQ': '283265286'}
{'项目': 'World of Tanks', 'QQ': '283265286'}
{'项目': '开心泡泡龙1000关', 'QQ': '646281520'}
